dttm,value
2017-10-06 17:46:29,256
2017-10-06 17:46:59,257
2017-10-06 17:47:29,259
2017-10-06 17:47:59,257
2017-10-06 17:48:29,256
2017-10-06 17:48:59,256
2017-10-06 17:49:29,255
2017-10-06 17:49:59,255
2017-10-06 17:50:29,256
2017-10-06 17:50:59,257
2017-10-06 17:51:29,257
2017-10-06 17:51:59,256
2017-10-06 17:52:29,256
2017-10-06 17:52:59,256
2017-10-06 17:53:29,259
2017-10-06 17:54:00,256
2017-10-06 17:54:30,256
2017-10-06 17:55:00,255
2017-10-06 17:55:30,256
2017-10-06 17:56:00,255
2017-10-06 17:56:30,255
2017-10-06 17:57:00,255
2017-10-06 17:57:30,255
2017-10-06 17:58:00,255
2017-10-06 17:58:30,256
2017-10-06 17:59:00,255
2017-10-06 17:59:30,254
2017-10-06 18:00:00,257
2017-10-06 18:00:30,254
2017-10-06 18:01:00,254
2017-10-06 18:01:30,255
2017-10-06 18:02:00,254
2017-10-06 18:02:30,254
2017-10-06 18:03:00,253
2017-10-06 18:03:30,253
2017-10-06 18:04:01,254
2017-10-06 18:04:31,253
2017-10-06 18:05:01,256
2017-10-06 18:05:31,254
2017-10-06 18:06:01,254
2017-10-06 18:06:31,255
2017-10-06 18:07:01,254
2017-10-06 18:07:31,254
2017-10-06 18:08:01,255
2017-10-06 18:08:31,259
2017-10-06 18:09:01,254
2017-10-06 18:09:31,254
2017-10-06 18:10:01,257
2017-10-06 18:10:31,254
2017-10-06 18:11:01,254
2017-10-06 18:11:31,254
2017-10-06 18:12:01,253
2017-10-06 18:12:31,253
2017-10-06 18:13:01,254
2017-10-06 18:13:32,254
2017-10-06 18:14:02,254
2017-10-06 18:14:32,255
2017-10-06 18:15:02,258
2017-10-06 18:15:32,254
2017-10-06 18:16:02,254
2017-10-06 18:16:32,254
2017-10-06 18:17:02,254
2017-10-06 18:17:32,255
2017-10-06 18:18:02,253
2017-10-06 18:18:32,254
2017-10-06 18:19:02,253
2017-10-06 18:19:32,253
2017-10-06 18:20:02,253
2017-10-06 18:20:32,253
2017-10-06 18:21:02,254
2017-10-06 18:21:32,254
2017-10-06 18:22:02,254
2017-10-06 18:22:32,254
2017-10-06 18:23:02,257
2017-10-06 18:23:32,258
2017-10-06 18:24:03,254
2017-10-06 18:24:33,256
2017-10-06 18:25:03,259
2017-10-06 18:25:33,256
2017-10-06 18:26:03,256
2017-10-06 18:26:33,256
2017-10-06 18:27:03,256
2017-10-06 18:27:33,256
2017-10-06 18:28:03,256
2017-10-06 18:28:33,256
2017-10-06 18:29:03,256
2017-10-06 18:29:33,253
2017-10-06 18:30:03,253
2017-10-06 18:30:33,253
2017-10-06 18:31:03,253
2017-10-06 18:31:33,253
2017-10-06 18:32:03,253
2017-10-06 18:32:33,253
2017-10-06 18:33:03,253
2017-10-06 18:33:33,253
2017-10-06 18:34:03,253
2017-10-06 18:34:34,253
2017-10-06 18:35:04,253
2017-10-06 18:35:34,253
2017-10-06 18:36:04,253
2017-10-06 18:36:34,253
2017-10-06 18:37:04,254
2017-10-06 18:37:34,253
2017-10-06 18:38:04,256
